"filename", "language", "C#", "HLSL", "JSON", "ShaderLab", "comment", "blank", "total"
"e:\GAME\ElementDuel\Assets\Scripts\CardSystem\ActionCard\Action.cs", "C#", 88, 0, 0, 0, 6, 45, 139
"e:\GAME\ElementDuel\Assets\Scripts\CardSystem\CharacterCard\BufferEffect.cs", "C#", 34, 0, 0, 0, 8, 13, 55
"e:\GAME\ElementDuel\Assets\Scripts\CardSystem\CharacterCard\Character.cs", "C#", 117, 0, 0, 0, 0, 45, 162
"e:\GAME\ElementDuel\Assets\Scripts\CardSystem\CharacterCard\CharacterAbility.cs", "C#", 138, 0, 0, 0, 2, 48, 188
"e:\GAME\ElementDuel\Assets\Scripts\CardSystem\CharacterCard\CharacterBuff.cs", "C#", 87, 0, 0, 0, 1, 28, 116
"e:\GAME\ElementDuel\Assets\Scripts\CardSystem\CharacterCard\Specific\Furina\Burst.cs", "C#", 19, 0, 0, 0, 4, 5, 28
"e:\GAME\ElementDuel\Assets\Scripts\CardSystem\CharacterCard\Specific\Furina\BurstBuff.cs", "C#", 27, 0, 0, 0, 0, 5, 32
"e:\GAME\ElementDuel\Assets\Scripts\CardSystem\CharacterCard\Specific\Furina\BurstEffect.cs", "C#", 15, 0, 0, 0, 0, 2, 17
"e:\GAME\ElementDuel\Assets\Scripts\CardSystem\CharacterCard\Specific\Furina\NormalAttack.cs", "C#", 19, 0, 0, 0, 2, 3, 24
"e:\GAME\ElementDuel\Assets\Scripts\CardSystem\CharacterCard\Specific\Furina\Skill.cs", "C#", 11, 0, 0, 0, 0, 1, 12
"e:\GAME\ElementDuel\Assets\Scripts\CardSystem\CharacterCard\Specific\Furina\Summon.cs", "C#", 36, 0, 0, 0, 4, 10, 50
"e:\GAME\ElementDuel\Assets\Scripts\CardSystem\CharacterCard\Specific\NormalAttack.cs", "C#", 9, 0, 0, 0, 0, 1, 10
"e:\GAME\ElementDuel\Assets\Scripts\CardSystem\CharacterCard\Summon.cs", "C#", 92, 0, 0, 0, 0, 37, 129
"e:\GAME\ElementDuel\Assets\Scripts\Card\ActionCard.cs", "C#", 6, 0, 0, 0, 0, 2, 8
"e:\GAME\ElementDuel\Assets\Scripts\Card\AssistCard\Assist\Assist.cs", "C#", 7, 0, 0, 0, 6, 4, 17
"e:\GAME\ElementDuel\Assets\Scripts\Card\AssistCard\Assist\AssistData.cs", "C#", 7, 0, 0, 0, 0, 2, 9
"e:\GAME\ElementDuel\Assets\Scripts\Card\AssistCard\Assist\Site\HuanNaLanNaAssist.cs", "C#", 13, 0, 0, 0, 2, 7, 22
"e:\GAME\ElementDuel\Assets\Scripts\Card\AssistCard\Partner\DiMaWuSi.cs", "C#", 8, 0, 0, 0, 0, 2, 10
"e:\GAME\ElementDuel\Assets\Scripts\Card\AssistCard\Partner\DiNaZeDai.cs", "C#", 9, 0, 0, 0, 0, 2, 11
"e:\GAME\ElementDuel\Assets\Scripts\Card\AssistCard\Partner\MaoShiFu.cs", "C#", 8, 0, 0, 0, 0, 2, 10
"e:\GAME\ElementDuel\Assets\Scripts\Card\AssistCard\Site\HuanNaLanNa.cs", "C#", 8, 0, 0, 0, 2, 6, 16
"e:\GAME\ElementDuel\Assets\Scripts\Card\CardData\ActionCardData.cs", "C#", 30, 0, 0, 0, 0, 5, 35
"e:\GAME\ElementDuel\Assets\Scripts\Card\EquipmentCard\Relic\LaoBingRongYan.cs", "C#", 9, 0, 0, 0, 0, 2, 11
"e:\GAME\ElementDuel\Assets\Scripts\Card\EquipmentCard\Relic\QianYanLaoGu.cs", "C#", 9, 0, 0, 0, 0, 2, 11
"e:\GAME\ElementDuel\Assets\Scripts\Card\EquipmentCard\Relic\ShaoNv.cs", "C#", 9, 0, 0, 0, 0, 2, 11
"e:\GAME\ElementDuel\Assets\Scripts\Card\EquipmentCard\Relic\XunYingLieRen.cs", "C#", 9, 0, 0, 0, 0, 2, 11
"e:\GAME\ElementDuel\Assets\Scripts\Card\EquipmentCard\Weapon\FengYingJian.cs", "C#", 9, 0, 0, 0, 0, 2, 11
"e:\GAME\ElementDuel\Assets\Scripts\Card\EventCard\Food\JianDan.cs", "C#", 9, 0, 0, 0, 0, 2, 11
"e:\GAME\ElementDuel\Assets\Scripts\Card\EventCard\Food\QiGuiZhiGuang.cs", "C#", 9, 0, 0, 0, 0, 2, 11
"e:\GAME\ElementDuel\Assets\Scripts\Card\EventCard\Food\WenQuanShiGuang.cs", "C#", 9, 0, 0, 0, 0, 2, 11
"e:\GAME\ElementDuel\Assets\Scripts\Card\EventCard\Other\HaiZhongXunBao.cs", "C#", 9, 0, 0, 0, 0, 2, 11
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Card\BaseCharacterCard.cs", "C#", 62, 0, 0, 0, 0, 15, 77
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Card\CharacterCardData.cs", "C#", 21, 0, 0, 0, 0, 4, 25
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Card\Implement\BaBaLa.cs", "C#", 25, 0, 0, 0, 1, 11, 37
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Card\Implement\FuNingNa.cs", "C#", 25, 0, 0, 0, 1, 11, 37
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Card\Implement\QiQi.cs", "C#", 25, 0, 0, 0, 1, 11, 37
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Skill\BaBaLa\BaBaLaBurst.cs", "C#", 9, 0, 0, 0, 0, 2, 11
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Skill\BaBaLa\BaBaLaNormalAttack.cs", "C#", 9, 0, 0, 0, 0, 2, 11
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Skill\BaBaLa\BaBaLaSkill.cs", "C#", 9, 0, 0, 0, 0, 2, 11
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Skill\BaseSkill.cs", "C#", 5, 0, 0, 0, 0, 2, 7
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Skill\FuNingNa\FuNingNaBurst.cs", "C#", 9, 0, 0, 0, 0, 2, 11
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Skill\FuNingNa\FuNingNaNormalAttack.cs", "C#", 9, 0, 0, 0, 0, 2, 11
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Skill\FuNingNa\FuNingNaSkill.cs", "C#", 9, 0, 0, 0, 0, 2, 11
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Skill\QiQi\QiQiBurst.cs", "C#", 9, 0, 0, 0, 0, 2, 11
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Skill\QiQi\QiQiNormalAttack.cs", "C#", 9, 0, 0, 0, 0, 2, 11
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Skill\QiQi\QiQiSkill.cs", "C#", 9, 0, 0, 0, 0, 2, 11
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Skill\Skill.cs", "C#", 6, 0, 0, 0, 0, 3, 9
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Skill\SkillCostData.cs", "C#", 25, 0, 0, 0, 2, 3, 30
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Skill\SkillData.cs", "C#", 10, 0, 0, 0, 0, 2, 12
"e:\GAME\ElementDuel\Assets\Scripts\DeckConfig.cs", "C#", 10, 0, 0, 0, 0, 3, 13
"e:\GAME\ElementDuel\Assets\Scripts\EffectAssetData.cs", "C#", 6, 0, 0, 0, 0, 2, 8
"e:\GAME\ElementDuel\Assets\Scripts\ElementDuelGame.cs", "C#", 281, 0, 0, 0, 9, 80, 370
"e:\GAME\ElementDuel\Assets\Scripts\Element\ElementColorData.cs", "C#", 40, 0, 0, 0, 0, 2, 42
"e:\GAME\ElementDuel\Assets\Scripts\Element\ElementDesign.cs", "C#", 55, 0, 0, 0, 3, 12, 70
"e:\GAME\ElementDuel\Assets\Scripts\GameAssetData.cs", "C#", 9, 0, 0, 0, 0, 2, 11
"e:\GAME\ElementDuel\Assets\Scripts\GameLoop.cs", "C#", 24, 0, 0, 0, 2, 3, 29
