"filename", "language", "C#", "comment", "blank", "total"
"e:\GAME\ElementDuel\Assets\Scripts\Card\ActionCard.cs", "C#", 8, 0, 1, 9
"e:\GAME\ElementDuel\Assets\Scripts\Card\ActionCardData.cs", "C#", 30, 0, 5, 35
"e:\GAME\ElementDuel\Assets\Scripts\Card\AssistCard\Assist\Assist.cs", "C#", 4, 1, 2, 7
"e:\GAME\ElementDuel\Assets\Scripts\Card\AssistCard\Assist\AssistData.cs", "C#", 1, 1, 0, 2
"e:\GAME\ElementDuel\Assets\Scripts\Card\AssistCard\Assist\Site\HuanNaLanNaAssist.cs", "C#", 37, 2, 1, 40
"e:\GAME\ElementDuel\Assets\Scripts\Card\AssistCard\Partner\DiMaWuSi.cs", "C#", 2, 0, 0, 2
"e:\GAME\ElementDuel\Assets\Scripts\Card\AssistCard\Partner\DiNaZeDai.cs", "C#", 1, 0, 0, 1
"e:\GAME\ElementDuel\Assets\Scripts\Card\AssistCard\Partner\MaoShiFu.cs", "C#", 2, 0, 0, 2
"e:\GAME\ElementDuel\Assets\Scripts\Card\AssistCard\Site\HuanNaLanNa.cs", "C#", 5, 1, -2, 4
"e:\GAME\ElementDuel\Assets\Scripts\Card\CardData\ActionCardData.cs", "C#", -30, 0, -5, -35
"e:\GAME\ElementDuel\Assets\Scripts\Card\EquipmentCard\Relic\LaoBingRongYan.cs", "C#", 1, 0, 0, 1
"e:\GAME\ElementDuel\Assets\Scripts\Card\EquipmentCard\Relic\QianYanLaoGu.cs", "C#", 1, 0, 0, 1
"e:\GAME\ElementDuel\Assets\Scripts\Card\EquipmentCard\Relic\ShaoNv.cs", "C#", 1, 0, 0, 1
"e:\GAME\ElementDuel\Assets\Scripts\Card\EquipmentCard\Relic\XunYingLieRen.cs", "C#", 1, 0, 0, 1
"e:\GAME\ElementDuel\Assets\Scripts\Card\EquipmentCard\Weapon\FengYingJian.cs", "C#", 1, 0, 0, 1
"e:\GAME\ElementDuel\Assets\Scripts\Card\EventCard\Food\JianDan.cs", "C#", 1, 0, 0, 1
"e:\GAME\ElementDuel\Assets\Scripts\Card\EventCard\Food\QiGuiZhiGuang.cs", "C#", 1, 0, 0, 1
"e:\GAME\ElementDuel\Assets\Scripts\Card\EventCard\Food\WenQuanShiGuang.cs", "C#", 1, 0, 0, 1
"e:\GAME\ElementDuel\Assets\Scripts\Card\EventCard\Other\HaiZhongXunBao.cs", "C#", 1, 0, 0, 1
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Buff\BaseBuff.cs", "C#", 16, 16, 3, 35
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Buff\BuffData.cs", "C#", 19, 0, 5, 24
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Buff\Implement\DuEZhenFu.cs", "C#", 38, 3, 9, 50
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Card\BaseCharacterCard.cs", "C#", 174, 1, 24, 199
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Card\CharacterCardData.cs", "C#", -2, 0, -1, -3
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Card\CharecterAttribute.cs", "C#", 11, 0, 2, 13
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Card\Implement\BaBaLa.cs", "C#", 1, 0, -1, 0
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Card\Implement\FuNingNa.cs", "C#", 1, 0, 0, 1
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Card\Implement\QiQi.cs", "C#", 1, 0, -1, 0
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Skill\BaBaLa\BaBaLaBurst.cs", "C#", -4, 0, 1, -3
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Skill\BaBaLa\BaBaLaNormalAttack.cs", "C#", -4, 0, 1, -3
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Skill\BaBaLa\BaBaLaSkill.cs", "C#", -4, 0, 1, -3
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Skill\BaseSkill.cs", "C#", 11, 0, 4, 15
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Skill\FuNingNa\FuNingNaBurst.cs", "C#", -4, 0, 1, -3
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Skill\FuNingNa\FuNingNaNormalAttack.cs", "C#", -4, 0, 1, -3
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Skill\FuNingNa\FuNingNaSkill.cs", "C#", -4, 0, 1, -3
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Skill\QiQi\QiQiBurst.cs", "C#", 9, 7, 3, 19
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Skill\QiQi\QiQiNormalAttack.cs", "C#", 7, 4, 2, 13
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Skill\QiQi\QiQiSkill.cs", "C#", 8, 8, 3, 19
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Skill\Skill.cs", "C#", 2, 0, 0, 2
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Summon\Implement\QiQi\HanBingGuiChai.cs", "C#", 48, 4, 9, 61
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Summon\Summon.cs", "C#", 12, 7, 6, 25
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Summon\SummonData.cs", "C#", 11, 3, 2, 16
"e:\GAME\ElementDuel\Assets\Scripts\ElementDuelGame.cs", "C#", 110, 0, 32, 142
"e:\GAME\ElementDuel\Assets\Scripts\Element\ElementReaction.cs", "C#", 8, 0, 2, 10
"e:\GAME\ElementDuel\Assets\Scripts\Element\ElementReactionKey.cs", "C#", 22, 1, 4, 27
"e:\GAME\ElementDuel\Assets\Scripts\Element\ElementReactionRegistry.cs", "C#", 55, 0, 4, 59
"e:\GAME\ElementDuel\Assets\Scripts\GameSystem\ActionSystem\PlayerAction\PlayerAction.cs", "C#", 25, 0, 0, 25
"e:\GAME\ElementDuel\Assets\Scripts\GameSystem\GamePhaseControllerSystem\GamePhaseControllerSystem.cs", "C#", 10, 0, 3, 13
"e:\GAME\ElementDuel\Assets\Scripts\GameSystem\GamePhaseControllerSystem\GamePhaseState\ActionPhaseState.cs", "C#", 38, 1, 7, 46
"e:\GAME\ElementDuel\Assets\Scripts\GameSystem\GamePhaseControllerSystem\GamePhaseState\EndPhaseState.cs", "C#", 1, 1, 1, 3
"e:\GAME\ElementDuel\Assets\Scripts\GameSystem\GamePhaseControllerSystem\GamePhaseState\GameStartState.cs", "C#", -1, 0, 0, -1
"e:\GAME\ElementDuel\Assets\Scripts\GameSystem\PlayerStstem\PlayerField\AssitField.cs", "C#", 4, 0, 1, 5
"e:\GAME\ElementDuel\Assets\Scripts\GameSystem\PlayerStstem\PlayerField\SummonField.cs", "C#", 4, 0, 0, 4
"e:\GAME\ElementDuel\Assets\Scripts\GameSystem\PlayerStstem\PlayerSystem.cs", "C#", 122, 1, 16, 139
"e:\GAME\ElementDuel\Assets\Scripts\Mono\AssistCardView.cs", "C#", 8, -5, -3, 0
"e:\GAME\ElementDuel\Assets\Scripts\Mono\AssistGroupView.cs", "C#", 30, 0, 3, 33
"e:\GAME\ElementDuel\Assets\Scripts\Mono\BuffView.cs", "C#", 4, -2, -1, 1
"e:\GAME\ElementDuel\Assets\Scripts\Mono\CharCardView.cs", "C#", 63, -9, 1, 55
"e:\GAME\ElementDuel\Assets\Scripts\Mono\CharGroupView.cs", "C#", 4, 0, 1, 5
"e:\GAME\ElementDuel\Assets\Scripts\Mono\EffectView.cs", "C#", 4, 0, 3, 7
"e:\GAME\ElementDuel\Assets\Scripts\Mono\ElementView.cs", "C#", 8, 0, 4, 12
"e:\GAME\ElementDuel\Assets\Scripts\Mono\HandsGroupView.cs", "C#", 15, 0, -1, 14
"e:\GAME\ElementDuel\Assets\Scripts\Mono\HandsView.cs", "C#", 25, 0, 2, 27
"e:\GAME\ElementDuel\Assets\Scripts\Mono\SkillGroupView.cs", "C#", 32, 0, 1, 33
"e:\GAME\ElementDuel\Assets\Scripts\Mono\SkillView.cs", "C#", 42, 0, 4, 46
"e:\GAME\ElementDuel\Assets\Scripts\Mono\SummonCardView.cs", "C#", 0, -5, 1, -4
"e:\GAME\ElementDuel\Assets\Scripts\Mono\SummonGroupView.cs", "C#", 33, 0, 6, 39
"e:\GAME\ElementDuel\Assets\Scripts\Tools\IdRegistry.cs", "C#", 23, 0, 5, 28
"e:\GAME\ElementDuel\Assets\Scripts\UISystem\AssistUI.cs", "C#", 4, 0, 1, 5
"e:\GAME\ElementDuel\Assets\Scripts\UISystem\CharacterUI.cs", "C#", 4, 0, 1, 5
"e:\GAME\ElementDuel\Assets\Scripts\UISystem\CurrentHandsUI.cs", "C#", 19, 0, 4, 23
"e:\GAME\ElementDuel\Assets\Scripts\UISystem\SkillUI.cs", "C#", 12, 0, 3, 15
"e:\GAME\ElementDuel\Assets\Scripts\UISystem\SummonUI.cs", "C#", 32, 0, 9, 41
"Total", "-", 1172, 41, 191, 1404
