"filename", "language", "C#", "comment", "blank", "total"
"e:\GAME\ElementDuel\Assets\Scripts\CardSystem\ActionCard\Action.cs", "C#", 88, 6, 45, 139
"e:\GAME\ElementDuel\Assets\Scripts\CardSystem\CharacterCard\BufferEffect.cs", "C#", 34, 8, 13, 55
"e:\GAME\ElementDuel\Assets\Scripts\CardSystem\CharacterCard\Character.cs", "C#", 117, 0, 45, 162
"e:\GAME\ElementDuel\Assets\Scripts\CardSystem\CharacterCard\CharacterAbility.cs", "C#", 138, 2, 48, 188
"e:\GAME\ElementDuel\Assets\Scripts\CardSystem\CharacterCard\CharacterBuff.cs", "C#", 87, 1, 28, 116
"e:\GAME\ElementDuel\Assets\Scripts\CardSystem\CharacterCard\Specific\Furina\Burst.cs", "C#", 19, 4, 5, 28
"e:\GAME\ElementDuel\Assets\Scripts\CardSystem\CharacterCard\Specific\Furina\BurstBuff.cs", "C#", 27, 0, 5, 32
"e:\GAME\ElementDuel\Assets\Scripts\CardSystem\CharacterCard\Specific\Furina\BurstEffect.cs", "C#", 15, 0, 2, 17
"e:\GAME\ElementDuel\Assets\Scripts\CardSystem\CharacterCard\Specific\Furina\NormalAttack.cs", "C#", 19, 2, 3, 24
"e:\GAME\ElementDuel\Assets\Scripts\CardSystem\CharacterCard\Specific\Furina\Skill.cs", "C#", 11, 0, 1, 12
"e:\GAME\ElementDuel\Assets\Scripts\CardSystem\CharacterCard\Specific\Furina\Summon.cs", "C#", 36, 4, 10, 50
"e:\GAME\ElementDuel\Assets\Scripts\CardSystem\CharacterCard\Specific\NormalAttack.cs", "C#", 9, 0, 1, 10
"e:\GAME\ElementDuel\Assets\Scripts\CardSystem\CharacterCard\Summon.cs", "C#", 92, 0, 37, 129
"e:\GAME\ElementDuel\Assets\Scripts\Card\ActionCard.cs", "C#", 14, 0, 3, 17
"e:\GAME\ElementDuel\Assets\Scripts\Card\ActionCardData.cs", "C#", 30, 0, 5, 35
"e:\GAME\ElementDuel\Assets\Scripts\Card\AssistCard\Assist\Assist.cs", "C#", 11, 7, 6, 24
"e:\GAME\ElementDuel\Assets\Scripts\Card\AssistCard\Assist\AssistData.cs", "C#", 8, 1, 2, 11
"e:\GAME\ElementDuel\Assets\Scripts\Card\AssistCard\Assist\Site\HuanNaLanNaAssist.cs", "C#", 50, 4, 8, 62
"e:\GAME\ElementDuel\Assets\Scripts\Card\AssistCard\Partner\DiMaWuSi.cs", "C#", 10, 0, 2, 12
"e:\GAME\ElementDuel\Assets\Scripts\Card\AssistCard\Partner\DiNaZeDai.cs", "C#", 10, 0, 2, 12
"e:\GAME\ElementDuel\Assets\Scripts\Card\AssistCard\Partner\MaoShiFu.cs", "C#", 10, 0, 2, 12
"e:\GAME\ElementDuel\Assets\Scripts\Card\AssistCard\Site\HuanNaLanNa.cs", "C#", 13, 3, 4, 20
"e:\GAME\ElementDuel\Assets\Scripts\Card\EquipmentCard\Relic\LaoBingRongYan.cs", "C#", 10, 0, 2, 12
"e:\GAME\ElementDuel\Assets\Scripts\Card\EquipmentCard\Relic\QianYanLaoGu.cs", "C#", 10, 0, 2, 12
"e:\GAME\ElementDuel\Assets\Scripts\Card\EquipmentCard\Relic\ShaoNv.cs", "C#", 10, 0, 2, 12
"e:\GAME\ElementDuel\Assets\Scripts\Card\EquipmentCard\Relic\XunYingLieRen.cs", "C#", 10, 0, 2, 12
"e:\GAME\ElementDuel\Assets\Scripts\Card\EquipmentCard\Weapon\FengYingJian.cs", "C#", 10, 0, 2, 12
"e:\GAME\ElementDuel\Assets\Scripts\Card\EventCard\Food\JianDan.cs", "C#", 10, 0, 2, 12
"e:\GAME\ElementDuel\Assets\Scripts\Card\EventCard\Food\QiGuiZhiGuang.cs", "C#", 10, 0, 2, 12
"e:\GAME\ElementDuel\Assets\Scripts\Card\EventCard\Food\WenQuanShiGuang.cs", "C#", 10, 0, 2, 12
"e:\GAME\ElementDuel\Assets\Scripts\Card\EventCard\Other\HaiZhongXunBao.cs", "C#", 10, 0, 2, 12
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Buff\BaseBuff.cs", "C#", 16, 16, 3, 35
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Buff\BuffData.cs", "C#", 19, 0, 5, 24
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Buff\Implement\DuEZhenFu.cs", "C#", 38, 3, 9, 50
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Card\BaseCharacterCard.cs", "C#", 236, 1, 39, 276
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Card\CharacterCardData.cs", "C#", 19, 0, 3, 22
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Card\CharecterAttribute.cs", "C#", 11, 0, 2, 13
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Card\Implement\BaBaLa.cs", "C#", 26, 1, 10, 37
"e:\GAME\ElementDuel\Assets\Scripts\CharacterCard\Card\Implement\FuNingNa.cs", "C#", 26, 1, 11, 38
